,Region,Population,Country
0,Asia,1411778724,China
1,Asia,1386826135,India
2,Americas,333056253,United States
3,Asia,271350000,Indonesia
4,Asia,225200000,Pakistan
5,Americas,214218402,Brazil
6,Africa,211401000,Nigeria
7,Asia,172045698,Bangladesh
8,Europe,146171015,Russia
9,Americas,126014024,Mexico
10,Asia,125470000,Japan
11,Africa,117876000,Ethiopia
12,Asia,111361343,Philippines
13,Africa,102809848,Egypt
14,Asia,98510000,Vietnam
15,Africa,92378000,DR Congo
16,Asia,85112578,Iran
17,Asia,83614362,Turkey
18,Europe,83222442,Germany
19,Europe,68035000,France
20,Europe,67081234,United Kingdom
21,Asia,66741642,Thailand
22,Africa,60142978,South Africa
23,Africa,59441988,Tanzania
24,Europe,59097904,Italy
25,Asia,55294979,Myanmar
26,Asia,51671569,South Korea
27,Americas,51049498,Colombia
28,Africa,47564296,Kenya
29,Europe,47394223,Spain
30,Americas,45808747,Argentina
31,Africa,44700000,Algeria
32,Africa,44113795,Sudan
33,Africa,42885900,Uganda
34,Europe,41270899,Ukraine
35,Asia,41190700,Iraq
36,Americas,38546743,Canada
37,Europe,38139000,Poland
38,Africa,36486391,Morocco
39,Asia,35317731,Uzbekistan
40,Asia,35013414,Saudi Arabia
41,Americas,33035304,Peru
42,Asia,32890171,Afghanistan
43,Asia,32691400,Malaysia
44,Africa,32097671,Angola
45,Africa,30832244,Mozambique
46,Africa,30792608,Ghana
47,Asia,30491000,Yemen
48,Asia,30378055,Nepal
49,Americas,28705000,Venezuela
50,Africa,27087732,Ivory Coast
51,Africa,26923353,Madagascar
52,Oceania,25932204,Australia
53,Asia,25660000,North Korea
54,Africa,24348251,Cameroon
55,Africa,24112753,Niger
56,Asia,23413879,Taiwan
57,Asia,22156000,Sri Lanka
58,Africa,21510181,Burkina Faso
59,Africa,20856000,Mali
60,Americas,19678363,Chile
61,Europe,19186201,Romania
62,Asia,19140304,Kazakhstan
63,Africa,18898441,Malawi
64,Africa,18400556,Zambia
65,Asia,18276000,Syria
66,Americas,17898152,Ecuador
67,Europe,17679581,Netherlands
68,Africa,17223497,Senegal
69,Americas,17109746,Guatemala
70,Africa,16818391,Chad
71,Africa,16360000,Somalia
72,Africa,15790716,Zimbabwe
73,Asia,15552211,Cambodia
74,Africa,13249924,South Sudan
75,Africa,12955768,Rwanda
76,Africa,12907395,Guinea
77,Africa,12574571,Burundi
78,Africa,12506347,Benin
79,Americas,11797257,Bolivia
80,Africa,11746695,Tunisia
81,Americas,11743017,Haiti
82,Europe,11601753,Belgium
83,Americas,11181595,Cuba
84,Asia,11122168,Jordan
85,Europe,10678632,Greece
86,Europe,10682029,Czech Republic
87,Americas,10535535,Dominican Republic
88,Europe,10443153,Sweden
89,Europe,10347892,Portugal
90,Asia,10139196,Azerbaijan
91,Europe,9730772,Hungary
92,Asia,9504000,Tajikistan
93,Asia,9503738,United Arab Emirates
94,Asia,9459260,Israel
95,Americas,9450711,Honduras
96,Europe,9349645,Belarus
97,Oceania,9122994,Papua New Guinea
98,Europe,8976467,Austria
99,Europe,8717105,Switzerland
100,Africa,8297882,Sierra Leone
101,Africa,7886000,Togo
102,Asia,7394700,Hong Kong
103,Americas,7353038,Paraguay
104,Asia,7337783,Laos
105,Africa,6959000,Libya
106,Europe,6871547,Serbia
107,Americas,6825935,El Salvador
108,Asia,6769000,Lebanon
109,Asia,6663000,Kyrgyzstan
110,Americas,6595674,Nicaragua
111,Europe,6520314,Bulgaria
112,Asia,6118000,Turkmenistan
113,Europe,5867412,Denmark
114,Africa,5657000,Congo
115,Africa,5633412,Central African Republic
116,Europe,5517780,Finland
117,Europe,5459781,Slovakia
118,Asia,5453600,Singapore
119,Europe,5415166,Norway
120,Asia,5227193,Palestine
121,Americas,5163038,Costa Rica
122,Oceania,5136583,New Zealand
123,Europe,5011500,Ireland
124,Asia,4670713,Kuwait
125,Africa,4661010,Liberia
126,Asia,4447408,Oman
127,Americas,4278500,Panama
128,Africa,4271197,Mauritania
129,Europe,3888529,Croatia
130,Asia,3728573,Georgia
131,Africa,3601000,Eritrea
132,Americas,3554915,Uruguay
133,Asia,3417617,Mongolia
134,Europe,3320954,Bosnia and Herzegovina
135,Americas,3285874,Puerto Rico
136,Asia,2963900,Armenia
137,Europe,2829741,Albania
138,Asia,2799202,Qatar
139,Europe,2777991,Lithuania
140,Americas,2734093,Jamaica
141,Europe,2597100,Moldova
142,Africa,2550226,Namibia
143,Africa,2487000,Gambia
144,Africa,2410338,Botswana
145,Africa,2233272,Gabon
146,Africa,2159000,Lesotho
147,Europe,2108977,Slovenia
148,Europe,2068808,North Macedonia
149,Europe,1879700,Latvia
150,Europe,1782115,Kosovo
151,Africa,1646077,Guinea-Bissau
152,Africa,1505588,Equatorial Guinea
153,Asia,1501635,Bahrain
154,Americas,1367558,Trinidad and Tobago
155,Europe,1330068,Estonia
156,Asia,1317780,East Timor
157,Africa,1266334,Mauritius
158,Africa,1172000,Eswatini
159,Africa,976107,Djibouti
160,Oceania,898402,Fiji
161,Asia,888005,Cyprus
162,Africa,758316,Comoros
163,Asia,756129,Bhutan
164,Americas,743699,Guyana
165,Oceania,728041,Solomon Islands
166,Asia,682300,Macau
167,Europe,634730,Luxembourg
168,Europe,621306,Montenegro
169,Africa,612000,Western Sahara
170,Americas,598000,Suriname
171,Africa,563198,Cape Verde
172,Europe,514564,Malta
173,Europe,469000,Transnistria
174,Americas,430191,Belize
175,Asia,429999,Brunei
176,Americas,393450,Bahamas
177,Asia,383135,Maldives
178,Europe,374830,Iceland
179,Asia,372486,Northern Cyprus
180,Oceania,301295,Vanuatu
181,Americas,288000,Barbados
182,Oceania,279890,French Polynesia
183,Oceania,273674,New Caledonia
184,Asia,245424,Abkhazia
185,Africa,214610,São Tomé and Príncipe
186,Oceania,199853,Samoa
187,Americas,178696,Saint Lucia
188,Oceania,178306,Guam
189,Americas,153671,Curaçao
190,Asia,148900,Republic of Artsakh
191,Oceania,120740,Kiribati
192,Americas,113000,Grenada
193,Americas,111050,Aruba
194,Americas,110696,Saint Vincent and the Grenadines
195,Europe,107800,Jersey
196,Oceania,105754,Micronesia
197,Americas,104000,U.S. Virgin Islands
198,Oceania,99532,Tonga
199,Americas,99337,Antigua and Barbuda
200,Africa,99202,Seychelles
201,Europe,85000,Isle of Man
202,Europe,78015,Andorra
203,Americas,72000,Dominica
204,Americas,65786,Cayman Islands
205,Americas,64055,Bermuda
206,Europe,63124,Guernsey
207,Oceania,56951,American Samoa
208,Oceania,56801,Northern Mariana Islands
209,Americas,56653,Greenland
210,Oceania,54516,Marshall Islands
211,Americas,54000,Saint Kitts and Nevis
212,Asia,53532,South Ossetia
213,Europe,53613,Faroe Islands
214,Americas,42953,Turks and Caicos Islands
215,Americas,41486,Sint Maarten
216,Europe,39151,Liechtenstein
217,Europe,38350,Monaco
218,Americas,34065,Saint Martin
219,Europe,34000,Gibraltar
220,Europe,33668,San Marino
221,Europe,30317,Åland
222,Americas,30000,British Virgin Islands
223,Oceania,17957,Palau
224,Oceania,15342,Cook Islands
225,Americas,15000,Anguilla
226,Oceania,11832,Nauru
227,Oceania,11369,Wallis and Futuna
